,total_abordo,pasajeros_abordo,personal_abordo,total_fallecidos,pasajeros_fallecidos,personal_fallecido,anio
547,124,116,8,3,3,0,2011
548,105,93,12,77,65,12,2011
549,9,7,2,9,7,2,2011
550,12,10,2,6,4,2,2011
551,14,12,2,14,12,2,2011
552,9,5,4,9,5,4,2011
553,33,29,4,32,28,4,2011
554,23,,,18,,,2011
555,7,6,1,7,6,1,2011
556,27,21,6,27,21,6,2011
557,22,19,3,22,19,3,2011
558,52,43,9,47,39,8,2011
559,9,0,9,9,0,9,2011
560,115,108,7,77,72,5,2011
561,37,33,4,7,7,0,2011
562,16,14,2,16,14,2,2011
563,80,71,9,80,71,9,2011
564,2,0,2,2,0,2,2011
565,38,,,38,,,2011
566,11,2,9,11,2,9,2011
567,15,11,4,12,8,4,2011
568,4,3,1,4,3,1,2011
569,21,17,4,21,17,4,2011
570,9,7,2,8,6,2,2011
571,45,37,8,44,37,7,2011
572,36,34,2,30,30,0,2011
573,1,0,1,1,0,1,2011
574,9,7,2,2,0,2,2011
575,19,16,3,19,16,3,2011
576,18,14,4,18,14,4,2011
577,32,28,4,28,26,2,2011
578,9,7,2,1,0,1,2011
579,5,4,1,5,4,1,2011
580,8,7,1,8,7,1,2011
581,5,4,1,5,4,1,2011
582,3,2,1,3,2,1,2011
583,5,3,3,3,1,2,2012
584,2,0,2,2,0,2,2012
585,12,,,12,,,2012
586,43,39,4,33,29,4,2012
587,127,121,6,127,121,6,2012
588,13,11,2,13,11,2,2012
589,45,39,6,45,39,6,2012
590,21,18,3,15,13,2,2012
591,4,0,4,0,0,4,2012
592,153,146,7,153,146,7,2012
593,14,12,2,14,12,2,2012
594,13,12,1,13,12,1,2012
595,7,0,7,7,0,7,2012
596,4,2,2,3,2,1,2012
597,32,26,6,32,26,6,2012
598,14,12,2,10,8,2,2012
599,19,16,3,19,16,3,2012
600,22,16,6,15,,,2012
601,4,3,1,3,2,1,2012
602,10,0,10,10,0,10,2012
603,7,0,7,7,0,7,2012
604,11,5,6,11,5,6,2012
605,7,5,2,7,5,2,2012
606,27,20,7,27,20,7,2012
607,71,65,6,1,0,1,2012
608,8,0,8,5,0,5,2012
609,3,2,1,3,2,1,2013
610,6,5,1,6,5,1,2013
611,21,16,5,21,16,5,2013
612,45,41,4,5,5,0,2013
613,10,4,6,7,1,6,2013
614,2,0,2,2,0,2,2013
615,108,101,7,0,0,0,2013
616,7,0,7,7,0,7,2013
617,4,2,2,4,2,2,2013
618,20,15,5,20,15,5,2013
619,307,291,16,3,3,0,2013
620,10,9,1,10,9,1,2013
621,6,0,6,4,0,4,2013
622,2,0,2,2,0,2,2013
623,20,13,7,16,11,5,2013
624,16,14,2,2,1,1,2013
625,49,44,5,49,44,5,2013
626,18,16,2,8,8,0,2013
627,21,13,8,13,7,6,2013
628,7,5,2,5,3,2,2013
629,50,44,6,50,44,6,2013
630,3,2,1,3,2,1,2013
631,33,27,6,33,27,6,2013
632,5,3,2,5,3,2,2013
633,9,3,6,9,3,6,2013
634,7,5,2,2,1,1,2014
635,77,73,4,76,72,4,2014
636,18,15,3,18,15,3,2014
637,11,6,5,11,6,5,2014
638,239,227,12,239,227,12,2014
639,2,1,1,2,1,1,2014
640,8,6,2,8,6,2,2014
641,8,7,1,8,7,1,2014
642,6,0,6,6,0,6,2014
643,17,11,6,16,10,6,2014
644,49,40,9,49,40,9,2014
645,4,0,4,4,0,4,2014
646,19,21,2,18,,,2014
647,298,283,15,298,283,15,2014
648,58,54,4,48,44,4,2014
649,116,110,6,116,110,6,2014
650,48,40,8,39,31,8,2014
651,7,5,2,7,5,2,2014
652,3,1,2,3,1,2,2014
653,9,7,2,4,2,2,2014
654,4,1,3,2,1,1,2014
655,6,0,6,6,0,6,2014
656,162,155,7,162,155,7,2014
657,37,35,2,37,35,2,2015
658,58,53,5,43,39,4,2015
659,10,8,2,10,8,2,2015
660,150,144,6,150,144,6,2015
661,9,8,1,9,8,1,2015
662,122,110,12,122,110,12,2015
663,11,0,11,11,0,11,2015
664,6,4,2,1,0,1,2015
665,54,49,5,54,49,5,2015
666,7,5,2,7,2,5,2015
667,7,6,1,3,3,0,2015
668,11,5,6,11,5,6,2015
669,10,7,3,10,7,3,2015
670,4,0,4,4,0,4,2015
671,224,217,7,224,217,7,2015
672,43,38,5,41,37,4,2015
673,7,6,1,7,6,1,2015
674,26,22,4,15,13,2,2015
675,2,0,2,2,0,2,2016
676,72,72,,1,1,,2016
677,23,20,3,23,20,3,2016
678,11,9,2,2,0,2,2016
679,4,0,4,3,0,3,2016
680,22,19,3,22,19,3,2016
681,62,55,7,62,55,7,2016
682,7,5,2,7,5,2,2016
683,5,4,1,5,4,1,2016
684,12,11,1,12,11,1,2016
685,13,11,2,13,11,2,2016
686,66,56,10,66,56,10,2016
687,29,23,6,29,23,6,2016
688,16,15,1,16,15,1,2016
689,300,282,18,0,0,0,2016
690,5,4,1,5,4,1,2016
691,5,3,2,5,3,2,2016
692,77,68,9,71,64,7,2016
693,13,8,5,13,8,5,2016
694,48,42,6,48,42,6,2016
695,13,10,3,13,10,3,2016
696,6,0,6,5,0,5,2016
697,92,84,8,92,84,8,2016
698,4,0,4,4,0,4,2017
699,5,4,1,5,4,1,2017
700,7,5,2,7,5,2,2017
701,6,4,2,6,4,2,2017
702,2,0,2,2,0,2,2017
703,3,0,3,2,0,2,2017
704,122,108,14,122,108,14,2017
705,3,2,1,3,2,1,2017
706,16,14,2,16,14,2,2017
707,12,6,6,12,6,6,2017
708,7,4,3,7,4,3,2017
709,10,4,6,4,4,0,2017
710,11,10,1,11,10,1,2017
711,25,22,3,1,1,0,2017
712,12,10,2,12,10,2,2017
713,12,7,5,12,7,5,2018
714,7,6,1,3,3,0,2018
715,71,65,6,71,65,6,2018
716,66,60,6,66,60,6,2018
717,39,33,6,39,33,6,2018
718,6,5,1,5,5,0,2018
719,11,8,3,11,8,3,2018
720,71,67,4,51,47,4,2018
721,257,247,10,257,247,10,2018
722,149,144,5,1,1,0,2018
723,9,0,9,9,0,9,2018
724,113,107,6,112,106,6,2018
725,10,8,2,10,8,2,2018
726,19,16,3,1,0,1,2018
727,20,17,3,20,17,3,2018
728,15,0,15,15,0,15,2018
729,47,35,12,1,1,0,2018
730,189,181,8,189,181,8,2018
731,128,120,8,1,1,0,2018
732,16,13,3,15,13,2,2019
733,3,0,3,3,0,3,2019
734,14,11,3,14,11,3,2019
735,157,149,8,157,149,8,2019
736,6,5,1,6,5,1,2019
737,13,11,2,13,11,2,2019
738,78,73,5,41,40,1,2019
739,13,5,8,13,5,8,2019
740,5,0,5,5,0,5,2019
741,2,0,2,2,0,2,2019
742,8,1,7,5,1,4,2019
743,19,17,2,19,17,2,2019
744,98,95,3,12,11,1,2019
745,18,9,9,18,9,9,2020
746,176,167,9,176,167,9,2020
747,177,171,6,3,3,0,2020
748,8,5,3,8,5,3,2020
749,99,91,8,97,89,8,2020
750,190,184,6,20,18,2,2020
751,8,5,3,7,4,3,2020
752,27,20,7,26,19,7,2020
753,62,56,6,62,56,6,2021
754,10,8,2,10,8,2,2021
755,6,5,1,5,4,1,2021
756,11,7,4,11,7,4,2021
757,14,12,2,12,11,1,2021
758,96,88,8,50,,,2021
759,28,22,6,28,22,6,2021
